BFS-Gemeinde-Nr,Ort_BfS,Bevölkerung
1,Aeugst am Albis,1982
2,Affoltern am Albis,12229
3,Bonstetten,5548
4,Hausen am Albis,3701
5,Hedingen,3734
6,Kappel am Albis,1157
7,Knonau,2373
8,Maschwanden,656
9,Mettmenstetten,5094
10,Obfelden,5599
11,Ottenbach,2555
12,Rifferswil,1123
13,Stallikon,3680
14,Wettswil am Albis,5188
21,Adlikon,707
22,Benken (ZH),855
23,Berg am Irchel,570
24,Buch am Irchel,977
25,Dachsen,1920
26,Dorf,658
27,Feuerthalen,3623
28,Flaach,1414
29,Flurlingen,1438
30,Andelfingen,2215
31,Henggart,2239
32,Humlikon,487
33,Kleinandelfingen,2109
34,Laufen-Uhwiesen,1709
35,Marthalen,1908
36,Oberstammheim,1164
37,Ossingen,1641
38,Rheinau,1333
39,Thalheim an der Thur,917
40,Trüllikon,1066
41,Truttikon,477
42,Unterstammheim,928
43,Volken,362
44,Waltalingen,655
51,Bachenbülach,4165
52,Bassersdorf,11687
53,Bülach,20447
54,Dietlikon,7776
55,Eglisau,5217
56,Embrach,9440
57,Freienstein-Teufen,2371
58,Glattfelden,5200
59,Hochfelden,1931
60,Höri,2845
61,Hüntwangen,1031
62,Kloten,19679
63,Lufingen,2401
64,Nürensdorf,5629
65,Oberembrach,1073
66,Opfikon,20361
67,Rafz,4576
68,Rorbas,2830
69,Wallisellen,16324
70,Wasterkingen,560
71,Wil (ZH),1425
72,Winkel,4518
81,Bachs,580
82,Boppelsen,1377
83,Buchs (ZH),6397
84,Dällikon,4149
85,Dänikon,1874
86,Dielsdorf,6001
87,Hüttikon,926
88,Neerach,3178
89,Niederglatt,4954
90,Niederhasli,9264
91,Niederweningen,3053
92,Oberglatt,7108
93,Oberweningen,1803
94,Otelfingen,2939
95,Regensberg,485
96,Regensdorf,18457
97,Rümlang,8172
98,Schleinikon,728
99,Schöfflisdorf,1376
100,Stadel,2289
101,Steinmaur,3535
102,Weiach,1810
111,Bäretswil,5029
112,Bubikon,7334
113,Dürnten,7637
114,Fischenthal,2501
115,Gossau (ZH),10222
116,Grüningen,3475
117,Hinwil,11138
118,Rüti (ZH),12174
119,Seegräben,1443
120,Wald (ZH),9949
121,Wetzikon (ZH),24809
131,Adliswil,18769
134,Hütten,888
