,Fahrzeugklasse,Fahrzeugart_Code,Fahrzeugart,Marken_Code,Marke,Marke_und_Typ,Typ1,Typ2,Typ3,Typ4,Typengenehmigungs-Nr,Typengenehmigungs-Nr_Zusatz,Karosserieform_Code,Karosserieform,Farbe,Farbe_Zusatz,Sitzplätze,Sitzplätze_vorne,Stehplätze,Leergewicht,Nutzlast,Gesamtgewicht,Gesamtzugsgewicht,Anhängelast,Dachlast,Tankinhalt_Aufbaus,Hubraum,Zylinder,Leistung,Motorkennzeichen,Treibstoff_Code,Treibstoff,CO2,Emissionscode,Energieeffizienzkategorie,Getriebe_Code,Getriebe,Getriebe_Detailcode,Antrieb_Code,Antrieb,Achsen,Erstinverkehrsetzung_Jahr,Erstinverkehrsetzung_Monat,Erstinvekehrsetzung_Kanton,Erstinverkehrsetzung_Staat,Gebrauchtcode,Ersterfassung_Jahr,Ersterfassung_Monat,Schildfarbe_Code,Schildfarbe,Schildart_Code,Schildart,Inverkehrsetzung_Status_Code,Inverkehrsetzung_Kanton,PLZ,Ort,BFS-Gemeinde-Nr,Staat_Code,Staat,Halterart_Code,Halterart,Besondere_Verwendung_Code,Besondere_Verwendung,Unnamed: 63
4717617,M1,1,Personenwagen,6306,SKODA,SKODA Yeti 1.2TSI,Yeti 1.2TSI,Yeti,1.2TSI,,1SF958,,161,Stationswagen,Grau,Metallic,5,2,0,1465,440,1905,0,1200,100,0,1197,4,81.0,CYVB,B,Benzin,128.0,B6b,D,M,Mechanisch,M7A,V,Vorderrad,2,2016,2,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6235,CH,Schweiz,1,männlich,,,
5424362,M1,1,Personenwagen,5100,TOYOTA,TOYOTA COROLLA 1.6,COROLLA 1.6,COROLLA,1.6,,1TA301,,163,Limousine,Grau,Metallic,5,2,0,1330,340,1670,0,0,75,0,1598,4,81,3ZZ,B,Benzin,190.0,B04,G,A,Automat,A4,V,Vorderrad,2,2006,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,141,CH,Schweiz,1,männlich,,,
6269855,M1,1,Personenwagen,4017,VW,VW Sharan 2.0D 7,Sharan 2.0D 7,Sharan,2.0D,7,1VF663,,163,Limousine,Grau,Metallic,7,2,0,1957,563,2520,0,2200,100,0,1968,4,110,DFLA,D,Diesel,132.0,B6b,C,M,Mechanisch,M6,V,Vorderrad,2,2017,12,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,198,CH,Schweiz,3,juristisch,,,
1365562,M1,1,Personenwagen,3019,FIAT,Fiat Punto 1.4 8V,Punto 1.4 8V,Punto,1.4,8V,1FB325,,163,Limousine,Schwarz,Metallic,5,2,0,1115,485,1600,0,0,75,0,1368,4,57,350A1000,B,Benzin,139.0,B04,G,M,Mechanisch,M5,V,Vorderrad,2,2009,12,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2773,CH,Schweiz,2,weiblich,,,
198970,M1,1,Personenwagen,4009,AUDI,AUDI A4 Av. qu. 2.0T,A4 Av. qu. 2.0T,A4,Av.,qu. 2.0T,1AC314,,161,Stationswagen,Grau,Metallic,5,2,0,1708,427,2135,0,0,75,0,1984,4,147.0,BWE,B,Benzin,233.0,B04,G,A,Automat,A6,A,Allrad,2,2006,5,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3255,CH,Schweiz,2,weiblich,,,
5519658,O4,90,Sachentransportanhänger,1999,UEBRIGE (SIEHE TYP),Meier-Sommer ZW 200T,Meier-Sommer ZW 200T,Meier-Sommer,ZW,200T,,X,117,Containertransport,Grau,,0,0,0,3500,12500,16000,0,0,0,0,0,0,0,,,,,,,,,,,,2,2018,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4037,CH,Schweiz,3,juristisch,,,
3636771,M1,1,Personenwagen,4050,OPEL,OPEL Corsa C12,Corsa C12,Corsa,C12,,1OA871,,163,Limousine,Blau,Metallic,5,2,0,1035,420,1455,0,0,100,0,1199,4,55.0,,B,Benzin,149.0,B04,G,M,Mechanisch,M5,V,Vorderrad,2,2005,1,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5413,CH,Schweiz,1,männlich,,,
5066421,L3,60,Motorrad,7102,SUZUKI,SUZUKI GSF1250A Bandit,GSF1250A Bandit,GSF1250A,Bandit,,6SA399,,0,---,Rot,,2,1,0,326,149,475,0,0,0,0,1255,4,72.0,W705,B,Benzin,,C03,,M,Mechanisch,M6,H,Hinterrad,2,2010,8,Kanton,,,,,1.0,Weiss (Motorrad),N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4063,CH,Schweiz,1,männlich,,,
686753,M1,1,Personenwagen,4012,BMW,BMW 530d Touring,530d Touring,530d,Touring,,1BB452,,161,Stationswagen,Schwarz,,5,2,0,1775,525,2300,0,2000,100,0,2993,6,173.0,,D,Diesel,180.0,B04,G,A,Automat,A6,H,Hinterrad,2,2010,5,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4304,CH,Schweiz,3,juristisch,,,
2840182,M1,1,Personenwagen,4043,MERCEDES-BENZ,MERCEDES-BENZ A 160,A 160,A,160,,1MC584,,163,Limousine,Rot,Metallic,5,2,0,1115,385,1500,0,0,50,0,1598,4,75.0,,B,Benzin,180.0,B02,G,M,Mechanisch,M5,V,Vorderrad,2,2000,12,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4147,CH,Schweiz,2,weiblich,,,
3467811,M1,1,Personenwagen,5063,NISSAN,NISSAN Qashqai+2,Qashqai+2,Qashqai+2,,,1NA433,,163,Limousine,Grau,Metallic,7,2,0,1835,521,2356,0,1350,75,0,1995,4,110.0,M9R,D,Diesel,209.0,B04,G,A,Automat,A6,A,Allrad,2,2009,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,351,CH,Schweiz,1,männlich,,,
