Marke,Typ,entfernen,such_typ,original_typ,Lux
Hummer,-,Nein,alle,Alle Modelle,lux
Jeep,-,Ja,alle,Alle Modelle,lux
Land Rover,-,Ja,alle,Alle Modelle,lux
ALFA ROMEO,STELVIO,Nein,normal,STELVIO,lux
AUDI,Q2,Nein,normal,Q2,x
BMW,X1,Nein,normal,X1,x
BMW,X4,Nein,normal,X4,lux
CHEVROLET,CAPTIVA,Nein,normal,CAPTIVA,x
CHEVROLET,TRAX,Nein,normal,TRAX,x
CITROEN,CROSSER,Nein,normal,C-CROSSER,x
CITROEN,CACTUS,Nein,normal,C4 CACTUS,x
DACIA,DUSTER,Nein,normal,DUSTER,x
DAIHATSU,TERIOS,Nein,normal,TERIOS,x
FIAT,SEDICI,Nein,normal,SEDICI,x
FORD,ECOSPORT,Nein,normal,ECOSPORT,x
FORD,EDGE,Nein,normal,EDGE,x
FORD,EXPLORER,Nein,normal,EXPLORER,x
FORD,KUGA,Nein,normal,KUGA,x
HONDA,CR-V,Nein,normal,CR-V,x
HONDA,HR-V,Nein,normal,HR-V,x
HYUNDAI,35,Nein,normal,IX 35,x
HYUNDAI,55,Nein,normal,IX 55,x
HYUNDAI,KONA,Nein,normal,KONA,x
HYUNDAI,TUCSON,Nein,normal,TUCSON,x
INFINITI,70,Nein,normal,QX70,lux
INFINITI,FX,Nein,normal,FX,lux
KIA,NIRO,Nein,normal,NIRO,x
KIA,SPORTAGE,Nein,normal,SPORTAGE,x
KIA,STONIC,Nein,normal,STONIC,x
LADA,NIVA,Nein,normal,NIVA,x
LEXUS,NX,Nein,normal,NX,x
LEXUS,RX,Nein,normal,RX,lux
MAZDA,CX-3,Nein,normal,CX-3,x
MAZDA,CX-5,Nein,normal,CX-5,x
MAZDA,CX-7,Nein,normal,CX-7,x
MAZDA,TRIBUTE,Nein,normal,TRIBUTE,x
MERCEDES,GLA,Nein,exakt,GLA,lux
MERCEDES,GLK,Nein,exakt,GLK,lux
MERCEDES,GLC,Nein,exakt,GLC,lux
MERCEDES,R,Nein,exakt,R-KLASSE,lux
MITSUBISHI,ASX,Nein,normal,ASX,x
MITSUBISHI,OUTLANDER,Nein,normal,OUTLANDER,x
MITSUBISHI,PAJERO,Ja,normal,PAJERO SPORT,x
NISSAN,MURANO,Nein,normal,MURANO,x
NISSAN,QASHQAI,Nein,normal,QASHQAI,x
OPEL,ANTARA,Nein,normal,ANTARA,x
OPEL,CROSSLAND,Nein,normal,CROSSLAND X,x
OPEL,GRANDLAND,Nein,normal,GRANDLAND X,x
OPEL,MOKKA,Nein,normal,MOKKA,x
PEUGEOT,2008,Nein,normal,2008,x
PEUGEOT,4007,Nein,normal,4007,x
PEUGEOT,4008,Nein,normal,4008,x
RENAULT,CAPTUR,Nein,normal,CAPTUR,x
RENAULT,KADJAR,Nein,normal,KADJAR,x
