Anzahl_SUV,BFS-Gemeinde-Nr,Ort_BfS,Bevölkerung,SUV_per_pop,Anzahl_auto,SUV_per_auto,Anzahl_luxSUV,luxSUV_per_auto,luxSUV_per_pop
19959,261,Zürich,415367.0,0.04805148218322592,134044,0.14889886902808033,8344.0,0.062248217003372026,0.02008825929840358
13018,6621,Genève,201818.0,0.06450366171501055,70296,0.18518834642084897,5121.0,0.07284909525435303,0.025374347184096563
7854,5586,Lausanne,139111.0,0.05645851154833191,49914,0.15735064310614255,2595.0,0.05198942180550547,0.018654168254128
7815,5192,Lugano,63185.0,0.12368441877027776,38729,0.2017867747682615,2752.0,0.07105786361641148,0.04355464113318035
6827,2701,Basel,172258.0,0.03963241184734526,51486,0.13259915316785145,2816.0,0.0546944800528299,0.016347571665757177
6505,351,Bern,133883.0,0.04858719927100528,53204,0.12226524321479589,2166.0,0.04071122471994587,0.016178304937893535
5718,230,Winterthur,111851.0,0.05112158138952714,44058,0.12978346724771891,1681.0,0.03815425121430841,0.01502892240570044
5217,1061,Luzern,81691.0,0.06386260420364545,33230,0.1569966897381884,1953.0,0.05877219380078243,0.02390716235570626
4949,3203,St. Gallen,75833.0,0.06526182532670473,33592,0.14732674446296737,1674.0,0.049833293641343174,0.02207482230691124
4545,6266,Sion,34708.0,0.13094963697130343,22560,0.2014627659574468,1125.0,0.049867021276595744,0.03241327647804541
4515,5002,Bellinzona,43220.0,0.10446552521980565,26296,0.17169911773653787,1041.0,0.03958777000304229,0.024086071263304025
4320,3101,Appenzell,5795.0,0.7454702329594478,18222,0.23707606190319394,1199.0,0.06579958292174294,0.20690250215703193
3705,3901,Chur,35378.0,0.10472610096670247,17893,0.2070642150561672,1087.0,0.060750013971944336,0.030725309514387473
3697,6421,La Chaux-de-Fonds,37952.0,0.097412521079258,18062,0.20468386668143063,806.0,0.044624072638688964,0.021237352445193928
3644,1711,Zug,30542.0,0.11931111256630214,16944,0.21506137865911237,2059.0,0.12151794145420208,0.06741536245170585
3118,942,Thun,43734.0,0.07129464489870581,20385,0.15295560461123375,819.0,0.040176600441501106,0.018726848676087256
2991,371,Biel/Bienne,55159.0,0.054225058467339875,20927,0.14292540736847134,943.0,0.04506140392793998,0.017096031472651787
2948,1701,Baar,24468.0,0.12048389733529508,14350,0.20543554006968642,1300.0,0.09059233449477352,0.053130619584763776
2737,2939,Schaffhausen,36587.0,0.0748079919096947,18356,0.14910655916321638,865.0,0.0471235563303552,0.023642277311613415
2551,1322,Freienbach,16391.0,0.15563418949423463,12010,0.21240632805995005,1278.0,0.1064113238967527,0.07796961747300347
2464,355,Köniz,41784.0,0.05896994064713766,17669,0.13945327975550398,723.0,0.04091912388929764,0.017303273980470994
2448,2125,Bulle,23439.0,0.10444131575579163,13166,0.1859334649855689,691.0,0.05248367005924351,0.029480779896753274
2435,6628,Lancy,32851.0,0.07412255334693008,14366,0.16949742447445357,700.0,0.04872615898649589,0.021308331557639035
2413,6643,Vernier,34791.0,0.06935701761949929,15161,0.15915836686234416,756.0,0.049864784644812345,0.02172975769595585
2348,6458,Neuchâtel,33489.0,0.07011257427812118,15561,0.15089004562688774,644.0,0.0413855150697256,0.019230194989399506
2278,198,Uster,34722.0,0.06560681988364725,16078,0.14168428909068292,718.0,0.04465729568354273,0.020678532342606994
2268,295,Horgen,22665.0,0.100066181336863,11340,0.2,844.0,0.07442680776014109,0.03723803220825061
2250,5886,Montreux,25984.0,0.0865917487684729,11546,0.1948726831803222,750.0,0.0649575610601074,0.028863916256157637
2226,1024,Emmen,30929.0,0.0719712890814446,14967,0.14872719983964722,661.0,0.04416382708625643,0.02137152833909923
2226,191,Dübendorf,28678.0,0.07762047562591534,14097,0.15790593743349648,789.0,0.05596935518195361,0.02751237882697538
2164,6608,Carouge (GE),22458.0,0.09635764538249177,13186,0.1641134536629759,780.0,0.05915364780828151,0.03473149879775581
2158,6240,Lens,4198.0,0.5140543115769414,7014,0.307670373538637,783.0,0.111633875106929,0.18651738923296807
2149,6031,Bagnes,8096.0,0.2654397233201581,6340,0.3389589905362776,571.0,0.09006309148264985,0.07052865612648221
2147,2196,Fribourg,38365.0,0.055962465789130715,15282,0.14049208218819526,598.0,0.03913100379531475,0.015587123680437898
2141,3340,Rapperswil-Jona,26999.0,0.07929923330493722,13288,0.16112281757977123,680.0,0.051173991571342566,0.025186118004370532
2134,5724,Nyon,21198.0,0.10066987451646382,11267,0.18940268039407118,760.0,0.06745362563237774,0.03585243890933107
2134,6136,Martigny,18309.0,0.11655469987437872,11335,0.188266431407146,539.0,0.04755183061314513,0.02943907367961112
2132,4566,Frauenfeld,25611.0,0.08324548045761587,15783,0.13508205030729264,632.0,0.04004308433124248,0.024676896645972432
2058,1702,Cham,16723.0,0.12306404353285894,10084,0.20408568028560095,859.0,0.08518445061483539,0.051366381630090295
2052,6153,Monthey,17785.0,0.11537812763564802,11309,0.18144840392607658,465.0,0.041117693872137234,0.02614562833848749
2052,6630,Meyrin,25255.0,0.08125123737873688,13508,0.1519099792715428,628.0,0.04649096831507255,0.02486636309641655
2023,1630,Glarus Nord,18483.0,0.10945192879943733,11198,0.1806572602250402,473.0,0.04223968565815324,0.025591083698533787
2021,5938,Yverdon-les-Bains,30157.0,0.06701594986238685,14425,0.14010398613518196,532.0,0.03688041594454073,0.017641012037006333
1999,6248,Sierre,16801.0,0.1189810130349384,10480,0.1907442748091603,471.0,0.044942748091603056,0.028034045592524256
1996,6487,Val-de-Ruz,16990.0,0.11748087110064744,10324,0.19333591631150718,365.0,0.035354513754358774,0.0214832254267216
1977,1059,Kriens,27444.0,0.0720376038478356,11747,0.16829828892483187,497.0,0.04230867455520559,0.01810960501384638
1955,1301,Einsiedeln,15870.0,0.12318840579710146,9160,0.2134279475982533,400.0,0.043668122270742356,0.02520478890989288
1932,3427,Wil (SG),23966.0,0.08061420345489444,12478,0.15483250520916814,649.0,0.05201154031094727,0.027080030042560294
1850,5590,Pully,18313.0,0.10102113252880468,8918,0.20744561560888092,711.0,0.07972639605292667,0.03882487850161088
1832,5254,Mendrisio,14942.0,0.122607415339312,9965,0.183843452082288,479.0,0.04806823883592574,0.032057288180966405
1805,121,Wetzikon (ZH),24809.0,0.07275585473013825,12558,0.1437330785156872,592.0,0.04714126453256888,0.023862308033374986
1800,243,Dietikon,27265.0,0.06601870529983496,12578,0.14310701224359992,674.0,0.05358562569565909,0.0247203374289382
1792,3851,Davos,10899.0,0.16441875401412973,5883,0.3046064932857386,491.0,0.08346081930987591,0.04505000458757684
