,Unnamed: 0,Fahrzeugklasse,Fahrzeugart_Code,Fahrzeugart,Marken_Code,Marke,Marke_und_Typ,Typ1,Typ2,Typ3,Typ4,Typengenehmigungs-Nr,Typengenehmigungs-Nr_Zusatz,Karosserieform_Code,Karosserieform,Farbe,Farbe_Zusatz,Sitzplätze,Sitzplätze_vorne,Stehplätze,Leergewicht,Nutzlast,Gesamtgewicht,Gesamtzugsgewicht,Anhängelast,Dachlast,Tankinhalt_Aufbaus,Hubraum,Zylinder,Leistung,Motorkennzeichen,Treibstoff_Code,Treibstoff,CO2,Emissionscode,Energieeffizienzkategorie,Getriebe_Code,Getriebe,Getriebe_Detailcode,Antrieb_Code,Antrieb,Achsen,Erstinverkehrsetzung_Jahr,Erstinverkehrsetzung_Monat,Erstinvekehrsetzung_Kanton,Erstinverkehrsetzung_Staat,Gebrauchtcode,Ersterfassung_Jahr,Ersterfassung_Monat,Schildfarbe_Code,Schildfarbe,Schildart_Code,Schildart,Inverkehrsetzung_Status_Code,Inverkehrsetzung_Kanton,PLZ,Ort,BFS-Gemeinde-Nr,Staat_Code,Staat,Halterart_Code,Halterart,Besondere_Verwendung_Code,Besondere_Verwendung,Unnamed: 63,Marke_harm,Type_harm,Luxury,Marke_Typ_harm
792,2153606,M1,1,Personenwagen,5719,hummer,hummer h3 3.7 awd,h3 3.7 awd,h3,3.7,AWD,1HE105,,163,Limousine,Schwarz,,5,2,0,2359,301,2660,0,1649,113,0,3653,5,180.0,,B,Benzin,327.0,B04,G,M,Mechanisch,M5,A,Allrad,2,2008,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1055,CH,Schweiz,1,männlich,,,,hummer,Alle Modelle,lux,hummer - Alle Modelle
258,76284,M1,1,Personenwagen,3003,alfa romeo,alfa romeo stelvio2.2jtdq4,stelvio2.2jtdq4,stelvio2.2jtdq4,nan,,1AA573,,161,Stationswagen,Grau,,5,2,0,1895,435,2330,0,0,75,0,2143,4,154.0,55271838,D,Diesel,127.0,B6b,B,A,Automat,A8,A,Allrad,2,2017,12,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5890,CH,Schweiz,3,juristisch,,,,alfa romeo,STELVIO,lux,alfa romeo - STELVIO
4106,75856,M1,1,Personenwagen,3003,alfa romeo,alfa romeo stelvio 2.0 q4,stelvio 2.0 q4,stelvio,2.0,Q4,1AA572,,161,Stationswagen,Grau,Metallic,5,2,0,1860,440,2300,0,2300,75,0,1995,4,206.0,55273835,B,Benzin,161.0,B6b,G,A,Automat,A8,A,Allrad,2,2018,7,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5451,CH,Schweiz,1,männlich,,,,alfa romeo,STELVIO,lux,alfa romeo - STELVIO
8945,77172,M1,1,Personenwagen,3003,alfa romeo,alfa-romeo stelvio 2.9 v6 q4,stelvio 2.9 v6 q4,stelvio,2.9,V6 Q4,1AA597,,161,Stationswagen,Rot,Metallic,5,2,0,1980,480,2460,0,0,75,0,2891,6,375.0,670051007,B,Benzin,210.0,B6b,G,A,Automat,A8,A,Allrad,2,2018,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3215,CH,Schweiz,1,männlich,,,,alfa romeo,STELVIO,lux,alfa romeo - STELVIO
2888,412855,M1,1,Personenwagen,4009,audi,audi q2 1.4tfsi,q2 1.4tfsi,q2,1.4tfsi,,1AF244,,161,Stationswagen,Grau,Metallic,5,2,0,1423,417,1840,0,0,60,0,1395,4,110.0,CZEA,B,Benzin,123.0,B6b,E,M,Mechanisch,M7A,V,Vorderrad,2,2017,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,354,CH,Schweiz,1,männlich,,,,audi,Q2,x,audi - Q2
5330,412591,M1,1,Personenwagen,4009,audi,audi q2 2.0tfsi quatt.,q2 2.0tfsi quatt.,q2,2.0tfsi,quatt.,1AF409,,161,Stationswagen,Weiss,,5,2,0,1599,391,1990,0,0,60,0,1984,4,140.0,CZPB,B,Benzin,146.0,B6c,F,M,Mechanisch,M7A,A,Allrad,2,2018,5,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5489,CH,Schweiz,1,männlich,,,,audi,Q2,x,audi - Q2
6642,413689,M1,1,Personenwagen,4009,audi,audi q2 1.4tfsi,q2 1.4tfsi,q2,1.4tfsi,,1AF146,,161,Stationswagen,Weiss,,5,2,0,1441,399,1840,0,0,60,0,1395,4,110.0,CZEA,B,Benzin,123.0,B6b,D,M,Mechanisch,M7A,V,Vorderrad,2,2016,12,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3339,CH,Schweiz,2,weiblich,,,,audi,Q2,x,audi - Q2
7460,413805,M1,1,Personenwagen,4009,audi,audi q2 1.4tfsi,q2 1.4tfsi,q2,1.4tfsi,,1AF246,,161,Stationswagen,Schwarz,Metallic,5,2,0,1414,426,1840,0,0,60,0,1395,4,110.0,CZEA,B,Benzin,119.0,B6b,D,M,Mechanisch,M7A,V,Vorderrad,2,2017,4,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5718,CH,Schweiz,1,männlich,,,,audi,Q2,x,audi - Q2
8683,412680,M1,1,Personenwagen,4009,audi,audi q2 30 tfsi,q2 30 tfsi,q2,30,TFSI,1AG927,,161,Stationswagen,Weiss,,5,2,0,1380,450,1830,0,0,60,0,999,3,85.0,DKRF,B,Benzin,122.0,B6d,E,M,Mechanisch,M7A,V,Vorderrad,2,2018,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5611,CH,Schweiz,2,weiblich,,,,audi,Q2,x,audi - Q2
9128,414232,M1,1,Personenwagen,4009,audi,audi q2 1.6tdi,q2 1.6tdi,q2,1.6tdi,,1AF151,,161,Stationswagen,Schwarz,,5,2,0,1455,425,1880,0,0,60,0,1598,4,85.0,DDYA,D,Diesel,109.0,B6b,A,M,Mechanisch,M7A,V,Vorderrad,2,2017,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2068,CH,Schweiz,3,juristisch,,,,audi,Q2,x,audi - Q2
